time_index,Moisture1,Water,Humidity_environment,group,weight,Temperature_environment ,Recipe,Temperature1
04.01.2024 06:44,3.6,46.5,91.86,28871445,289,,1,231
04.01.2024 06:58,3.35,45.5,92.912,28871445,292,,1,231.2
04.01.2024 07:29,3.32,45.5,92.687,28871445,291,6.9,1,231
04.01.2024 07:46,3.32,45.5,93.993,28871445,291,6.78,1,231
04.01.2024 07:53,3.32,45.5,92.63,28871445,290,6.76,1,231
04.01.2024 08:04,3.47,45.5,93.674,28871445,290,6.68,1,231
04.01.2024 08:10,3.47,45.5,94.266,28871445,291,,1,231
04.01.2024 08:17,3.47,45.5,94.059,28871445,290,6.56,1,231
04.01.2024 08:35,3.1,45.5,93.157,28871445,291,6.88,1,231.1
04.01.2024 08:40,3.1,45.5,92.959,28871445,291,6.95,1,231.1
04.01.2024 08:46,3.1,45.5,92.621,28871445,290,6.99,1,231
04.01.2024 09:03,3.26,45,91.305,28871468,291,7.21,2,226.9
04.01.2024 09:11,3.2,45,91.418,28871468,290,7.29,2,226.6
04.01.2024 09:42,3.41,45,89.528,28871468,290,7.92,2,226.6
04.01.2024 09:49,3.41,45,88.429,28871468,292,8.27,2,226
04.01.2024 09:57,3.46,45,87.733,28871468,290,8.46,2,225.5
04.01.2024 10:29,3.48,44.8,87.15,28871468,291,,2,225.4
04.01.2024 10:54,3.33,45.5,85.12,28871445,289,10.36,1,231.1
04.01.2024 11:16,3.33,45.5,79.809,28871445,288,12.15,1,231
04.01.2024 11:23,3.36,45.5,78.013,28871445,290,,1,231.1
04.01.2024 11:31,3.36,45.5,79.329,28871445,289,12.4,1,231.1
04.01.2024 11:40,3.2,46.9,80.345,28871434,291,,4,233.3
04.01.2024 11:49,3.5,46,80.41,28871486,275,12.64,3,232.4
04.01.2024 12:01,3.5,46,80.523,28871486,276,13.55,3,232.4
04.01.2024 12:10,3.5,46,82.854,28871486,275,14.47,3,232.4
04.01.2024 12:16,3.52,46,82.704,28871486,275,14.54,3,232.4
04.01.2024 12:25,3.52,46,81.463,28871486,275,15.1,3,232.3
04.01.2024 12:33,3.52,46,80.57,28871486,275,15.22,3,232.4
04.01.2024 12:40,3.52,46,78.831,28871486,275,15.64,3,232.3
04.01.2024 12:48,3.58,46,77.459,28871486,275,,3,232.4
04.01.2024 12:57,3.26,45,76.979,28871445,292,16.14,1,231.1
04.01.2024 13:28,3.52,45,75.485,28871445,288,16.53,1,231.1
04.01.2024 15:59,3.51,45.7,63.255,28871486,275,18.29,3,232.4
04.01.2024 16:05,3.56,45.7,64.769,28871486,275,,3,232.9
04.01.2024 16:21,3.4,44.7,68.707,28871468,290,17.12,2,225.5
04.01.2024 16:28,3.22,44.7,70.992,28871468,289,16.44,2,225.7
04.01.2024 16:36,3.55,44.7,72.637,28871468,290,16.07,2,226.2
04.01.2024 16:44,3.53,44.7,73.031,28871468,291,16.09,2,226.6
04.01.2024 17:16,3.29,44.4,81.219,28871468,291,14.67,2,226.7
04.01.2024 17:46,3.25,44.4,87.019,28871468,291,13.78,2,226.2
04.01.2024 18:19,3.22,45,90.863,28871445,290,13.24,1,231.1
04.01.2024 18:48,3.3,45.2,93.646,28871445,290,12.8,1,231.1
04.01.2024 18:56,3.2,45.2,93.74,28871445,290,12.74,1,231.2
06.01.2024 21:02,2.91,41.7,92.471,28871487,276,6.29,13,227.7
06.01.2024 21:25,3.19,44.4,94.191,28871468,290,5.23,2,226.5
06.01.2024 21:37,3.08,44.4,93.523,28871468,289,5.05,2,225.9
06.01.2024 21:43,2.91,44.4,92.583,28871468,291,,2,225.6
06.01.2024 21:55,3.14,44.6,94.257,28871468,290,,2,225.1
06.01.2024 22:03,3.49,45.2,95.441,28871445,290,4.21,1,230.9
06.01.2024 22:10,3.04,45.2,97.077,28871445,290,3.49,1,231.2
06.01.2024 22:42,3.59,43.6,95.15,28871448,290,3.51,17,224.4
06.01.2024 22:51,3.3,43.6,97.406,28871448,290,3.11,17,224.4
06.01.2024 22:58,3.3,43.6,96.005,28871448,290,,17,224.4
06.01.2024 23:08,3.3,43.6,96.437,28871448,288,2.85,17,224.4
06.01.2024 23:16,3.33,43.6,97.124,28871448,288,2.77,17,224.5
06.01.2024 23:24,3.3,43.6,98.402,28871448,291,2.7,17,224.5
06.01.2024 23:33,3.3,43.6,96.842,28871448,290,,17,224.5
06.01.2024 23:41,3.3,43.6,97.18,28871448,292,1.91,17,224.5
06.01.2024 23:50,3.16,44.6,97.603,28871468,290,1.63,2,225.2
07.01.2024 00:20,3.53,41.7,95.949,28871487,275,1.22,13,227.6
07.01.2024 00:47,3.4,41.7,96.174,28871487,275,0.98,13,227.7
07.01.2024 00:51,3.3,41.7,98.834,28871487,275,0.91,13,227.7
07.01.2024 01:06,3.38,44.6,97.763,28871468,290,,2,225.2
07.01.2024 01:56,3.2,44.6,99.417,28871468,290,-0.73,2,225.3
07.01.2024 02:14,3.55,44.6,99.774,28871468,290,-0.53,2,225.2
07.01.2024 02:36,3.3,44.6,99.596,28871468,291,-0.53,2,225.2
07.01.2024 02:45,3.5,43.6,99.004,28871448,291,-0.85,17,224.5
07.01.2024 02:53,3.5,43.6,99.163,28871448,290,,17,224.6
07.01.2024 03:01,3.5,43.6,98.261,28871448,289,-0.69,17,224.5
